ObjID,ra,dec,score_locus,score_straight,references_in_locus,references_in_straight,references_total
1237663784213217536,36.09067783861785,0.16279248911775568,2.8623519256106458,2.089226346364059,19,14,52
1237658304354713856,168.02683629756476,59.571190086939936,1.0582272390835037,0.7510184840423227,7,5,16
1237664854725755136,235.16118623977837,27.527121861982668,1.632633891048392,0.7409790311102953,11,5,18
1237663543674012416,309.6626928964558,0.4378796834417603,48.99420116290805,32.68203655850759,80,50,222
1237654879659032832,205.13711212842279,4.146641299667483,1.3565746543098298,0.3021560387244225,9,2,17
1237673738322575616,102.9820342701448,27.38003550640873,3.1550282429482017,1.5025471163188853,21,10,37
1237671696597647616,262.833605905877,8.965987154657876,14.889537931303078,10.917765994115488,15,11,35
1237665583798354432,262.2210577634723,35.238308715203665,24.361657768179512,17.05014770507103,29,21,78
1237657877538210304,115.91137195196802,22.136840579306334,5.333935652057655,3.701900285557746,30,22,74
1237665531707326720,202.54225217647738,26.142185995397167,4.534842157822736,2.8321431487806974,30,19,83
1237657069549715712,30.112585623657104,-0.8432809910694463,3.5027423370617923,1.962666347948705,19,11,37
1237680069098275072,11.422582167489843,23.859734859151832,6.441434324508235,1.7591437690806955,8,2,16
1237678892286738688,41.40394259419977,28.348154911420433,18.21812999722969,11.295703591308577,20,12,49
1237648722282086912,128.81048068130613,0.7426197202333333,8.911480225534383,7.5395869368482,22,16,52
1237662636377571840,244.5902833493166,7.118891807845773,0.3007479763316705,0.1503739915685081,2,1,5
1237661957226103040,218.07192059597833,46.41331779761706,0.6014978409172611,0.3007484932966169,4,2,7
1237659326563483904,241.6876150007954,44.440334264467566,2.1104016122034652,1.5124828005990105,14,10,30
1237674371291742464,126.0565589584677,21.22118464209747,15.484669199306241,10.597485127095737,16,11,46
1237666210854338816,267.1085354478019,25.452792098592667,8.85994598516684,7.655639582005998,59,51,140
1237663234444166656,354.68448357667796,46.81884599666424,7.142886316103473,6.8894694677522414,49,47,129
1237678620081914624,313.66252783116715,2.4830741689087836,66.61094480307095,57.88920602610292,85,75,271
1237666228571931392,272.0731062397938,24.167257699380368,74.61994686828487,61.391748967859634,78,64,236
1237654604249497856,154.51464869399027,3.3363221414866935,6.880803415505474,3.404647165471228,12,6,27
1237667549270180096,162.087130615237,22.22609428147007,5.508352496014816,3.340567363994941,35,21,88
1237666089515155712,18.347175865536034,15.590859877771933,13.816146354550378,10.854587024316121,19,14,40
1237662697566372096,220.39296268859422,32.21874578794944,5.518967955796421,2.929352511371216,31,16,81
1237673310428725504,114.42178938664418,41.29943364820353,0.9022438859515891,0.45112194309125264,6,3,12
1237661950814061056,237.60254477347905,8.439085216235076,3.976132976806071,2.3676998254106865,22,13,51
1237666407898284288,343.332152530658,-0.17267737902455066,1.2115409244309172,0.9105919761584677,8,6,17
1237673808655745536,122.69046677762384,19.97331810946767,3.6231188871403095,2.5580573608246313,24,17,62
1237674462017487616,123.0997102988696,-6.366559131796817,3.753338455755854,1.651545425338199,25,11,46
1237667734508732672,184.59018922987386,21.829508034580034,0.45112103697866057,0.30074370201783385,3,2,4
1237661056355730688,51.07167337262386,41.745795502652136,5.0740325440375935,2.971654934609877,34,20,84
1237648720667935232,120.73782512259741,-0.5140062910474094,31.153283573503273,28.296586090368567,38,34,117
1237669766547046656,8.289987788060003,7.178463288175487,2.2539536329903345,1.6536061646562978,15,11,33
1237656494564311552,330.84902529784523,11.727589555861034,0.7518712618533204,0.4511228239524453,5,3,6
1237649962997186816,61.72537399574311,-5.146478326010583,0.9363949864611288,0.3216356530676816,6,2,14
1237680314448216320,18.60109525906678,31.408289770277367,13.378534883798691,7.372576201017292,16,9,40
1237678877780934912,316.1293037371628,9.256486367690107,41.24358873931494,33.48271003991034,43,35,135
1237660760534089984,63.65425372579962,25.77376918748497,0.4511219434826202,0.15037398110665415,3,1,5
1237674462028103936,143.8640284314149,6.145972347584207,3.4359090630863443,2.401123750777444,5,3,9
1237669767622230272,11.646254830560487,7.915830649807207,0.3007479619591185,0.15037398096355892,2,1,3
